,Nombre,matches,Id
0,Carme Forcadell i Lluís,Carme Forcadell i Lluís,ForcadellCarme
1,Marta Rovira i Vergés,Marta Rovira i Vergés,RoviraMarta
2,Anna Gabriel i Sabaté,Anna Gabriel i Sabaté,GabrielAnna
3,Alejandro Fernández Álvarez,Alejandro Fernández Álvarez,FernándezAlejandro
4,Santi Rodríguez i Serra,Santi Rodríguez i Serra,RodríguezSanti
5,Carlos Carrizosa Torres,Carlos Carrizosa Torres,CarrizosaCarlos
6,Ferran Pedret i Santos,Ferran Pedret i Santos,PedretFerran
7,Joan Coscubiela Conesa,Joan Coscubiela Conesa,CoscubielaJoan
8,José María Espejo Saavedra Conesa,José María Espejo Saavedra Conesa,Espejo-Saavedra
9,Germà Gordó i Aubarell,Germà Gordò i Aubarell,GordòGermà
10,Miquel Iceta i Llorens,Miquel Iceta i Llorens,IcetaMiquel
11,Albano Dante Fachin Pozzi,Albano Dante Fachin Pozzi,DanteAlbano
12,Fernando de Páramo Gómez,Fernando de Páramo Goméz,DePáramoFernando
13,José María Espejo-Saavedra Conesa,José María Espejo Saavedra Conesa,Espejo-Saavedra
14,Eva Granados Galiano,Eva Maria Granados Galiano,GranadosEva
15,Xavier García Albiol,Xavier García Albiol,GarcíaXavier
16,Jéssica Albiach Satorres,Jèssica Albiach Satorres,AlbiachJèssica
17,Clara Ponsatí i Obiols,Clara Ponseti i Obiols,PonsetiClara
18,La consellera d'Ensenyament,,
19,Maria Senserrich i Guitart,Maria Senserrich i Guitart,SenserrichMaria
20,Oriol Junqueras i Vies,Oriol Junqueras i Vies,JunquerasOriol
21,Bernat Solé i Barril,Bernat Solé i Barril,SoléBernat
22,Teresa Vallverdú Albornà,Teresa Vallverdú Albornà,VallverdúTeresa
23,Lluís Puig i Gordi,Lluís Puig i Gordi,PuigLluís
24,Alberto Villagrasa Gil,Alberto Villagrasa Gil,VillagrasaAlberto
25,Joaquim Forn i Chiariello,Joaquim Forn i Chiariello,FornJoaquim
26,Noemí de la Calle Sifré,Noemí de la Calle Sifré,DelaCalleNoemí
27,Dolors Bassa i Coll,Dolors Bassa i Coll,BassaDolors
28,"La consellera de Treball, Afers Socials i Famílies",,
29,Mireia Vehí i Cantenys,Mireia Vehí i Cantenys,VehíMireia
30,Raül Romeva i Rueda,Raül Romeva i Rueda,RomevaRaül
31,"El conseller d'Afers Exteriors, Relacions Institucionals i Transparència",,
32,Gabriela Serra Frediani,Maria Gabriela Serra i Frediani,SerraMaria
33,Carles Puigdemont i Casamajó,Carles Puigdemont i Casamajò,PuigdemontCarles
34,Josep Lluís Franco Rabell,Josep Lluís Franco Rabell,FrancoJosep
35,Inés Arrimadas García,Inés Arrimadas García,ArrimadasInés
36,Lluís M. Corominas i Díaz,Lluís Corominas i Diaz,CorominasLluís
37,Joan Giner Miguélez,Joan Giner Miguelez,GinerJoan
38,Maria Rovira i Vergés,Marta Rovira i Vergés,RoviraMarta
39,Josep Rull i Andreu,Josep Rull i Andreu,RullJosep
40,Lluís Guinó i Subirós,Lluís Guinó i Subirós,GuinóLluís
41,Marina Bravo Sobrino,Marina Bravo Sobrino,BravoMarina
42,Jordi Terrades i Santacreu,Jordi Terrades i Santacreu,TerradesJordi
43,Hortènsia Grau Juan,Hortènsia Grau Juan,GrauHortènsia
44,Sergi Saladié Gil,Sergi Saladié i Gil,SaladiéSergi
45,Marc Sanglas i Alcantarilla,Marc Sanglas i Alcantarilla,SanglasMarc
46,Violant Cervera i Gòdia,Violant Cervera i Gòdia,CerveraViolant
47,Marisa Xandri Pujol,Marisa Xandri Pujol,XandriMarisa
48,Francisco Javier Domínguez Serrano,Francisco Javier Domínguez Serrano,DomínguezFrancisco
49,Mireia Boya e Busquet,Mireia Boya e Busquet,BoyaMireia
50,Roger Torrent i Ramió,Roger Torrent i Ramió,TorrentRoger
51,El secretari general,,
52,Ramona Barrufet i Santacana,Ramona Barrufet i Santacana,BarrufetRamona
53,Daniel Serrano Coronado,Daniel Serrano Coronado,SerranoDaniel
54,Anna Caula i Paretas,Anna Caula i Paretas,CaulaAnna
55,Marta Madrenas i Mir,Marta Madrenas i Mir,MadrenasMarta
56,Maria Sirvent Escrig,Maria Sirvent Escrig,SirventMaria
57,José María Cano Navarro,José María Cano Navarro,CanoJose
58,Susanna Segovia Sánchez,Susana Segovia Sánchez,SegoviaSusana
59,La secretària quarta,,
60,Carles Castillo Rosique,Carlos Castillo Rosique,CastilloCarlos
61,Miquel Buch i Moya,Miquel Buch i Moya,BuchMiquel
62,Carlos Castillo Rosique,Carlos Castillo Rosique,CastilloCarlos
63,Eduard Pujol i Bonell,Eduard Pujol i Bonell,PujolEduard
64,Damià Calvet i Valera,Damià Calvet i Valera,CalvetDamià
65,Josep Costa i Rosselló,Josep Costa i Rosselló,CostaJosep
66,Sonia Sierra Infante,Sonia Sierra Infante,SierraSonia
67,Josep Bargalló Valls,Josep Bargalló Valls,BargallóVallsJosep
68,Eva Baró Ramos,Eva Baró i Ramos,BaróEva
69,Pere Aragonès i Garcia,Pere Aragonès i Garcia,AragonèsPere
70,Najat Driouech Ben Moussa,Najat Driouech Ben Moussa,DriouechNajat
71,Alfred Bosch i Pascual,Alfred Bosch i Pascual,BoschAlfred
72,Carles Riera Albert,Carles Riera i Albert,RieraCarles
73,Vidal Aragonés Chicharro,Vidal Aragonés Chicharro,AragonèsPere
74,"El conseller d’Acció Exterior, Relacions Institucionals i Transparència",,
75,Assumpta Escarp Gibert,Assumpta Escarp Gibert,EscarpAssumpta
76,Marta Ribas Frías,Marta Ribas Frías,RibasMarta
77,Gemma Espigares Tribó,Gemma Espigares i Tribño,EspigaresGemma
78,Jorge Soler González,Jorge Soler Gonzaléz,SolerJorge
79,Alícia Romero Llano,Alícia Romero Llano,RomeroAlícia
80,Dimas Gragera Velaz,Dimas Gragera Velaz,GrageraDimas
81,Jordi Albert i Caballero,Jordi Albert i Caballero,AlbertJordi
82,Gemma Geis i Carreras,Gemma Geis i Carreras,GeisGemma
83,David Cid Colomer,David Cid Colomer,CidDavid
84,Natàlia Sànchez Dipp,Natàlia Sànchez Dipp,SànchezNatàlia
85,Susana Beltrán García,Susana Beltrán Garcia,BeltránSusana
86,Ruben Wagensberg Ramon,Ruben Wagensberg,WagensbergRuben
87,Aurora Madaula i Giménez,Aurora Madaula i Giménez,MadaulaAurora
88,Beatriz Silva Gallardo,Beatriz Silva Gallardo,SilvaBeatriz
89,Montserrat Macià i Gou,Montserrat Macià Gou,MaciàMontserrat
90,Andrea Levy Soler,Andrea Levy Soler,LevyAndrea
91,Elisenda Alamany Gutiérrez,Elisenda Alamany Gutiérrez,AlamanyElisenda
92,M. Assumpció Laïlla i Jou,Assumpció Laïlla i Jou,LaïllaAssumpció
93,Anna Tarrés i Campà,Anna Tarrés i Campa,TarrésAnna
94,Ignacio Martín Blanco,Ignacio Martín Blanco,MartínIgnacio
95,David Pérez Ibáñez,David Pérez Ibáñez,PérezDavid
96,Jenn Díaz Ruiz,Jenn Diaz Ruiz,DiazJenn
97,Josep Riera i Font,Josep Riera i Font,RieraJosep
98,Anna Erra i Solà,Anna Erra i Solà,ErraAnna
99,Meritxell Budó Pla,Meritxell Budó i Pla,BudóMeritxell
100,Montserrat Fornells i Solé,Montserrat Fornells i Solè,FornellsMontserrat
101,Teresa Jordà i Roura,Teresa Jordà i Roure,JordàTeresa
102,"La consellera d’Agricultura, Ramaderia, Pesca i Alimentació",,
103,Raquel Sans Guerra,Raquel Sans i Guerra,SansRaquel
104,Raúl Moreno Montaña,Raúl Moreno Montaña,MorenoRaúl
105,Alba Vergés i Bosch,Alba Vergès i Bosch,VergèsAlba
106,Manuel Rodríguez de l'Hotellerie de Fallois,Manuel Rodriguez de l'Hotellerie de Fallois,RodriguezManuel
107,Ester Capella i Farré,Ester Capella i Farré,CapellaEster
108,Joaquim Torra i Pla,Joaquim Torra i Pla,TorraJoaquim
109,Albert Batet i Canadell,Albert Batet Canadell,BatetAlbert
110,Lorena Roldán Suárez,Lorena Roldán Suárez,RoldánLorena
111,Sergi Sabrià i Benito,Sergi Sabrià i Benito,SabriàSergi
112,Adriana Delgado i Herreros,Adriana Delgado i Herreros,DelgadoAdriana
113,Marta Vilalta i Torres,Marta Vilalta i Torres,VilaltaMarta
114,Chakir El Homrani Lesfar,Chakir El Homrani Lesfar,ElHomraniChakir
115,Ferran Civit i Martí,Ferran Civit Martí,CivitFerran
116,"El conseller d'Acció Exterior, Relacions Institucionals i Transparència",,
117,"El conseller de Treball, Afers Socials i Famílies",,
118,El conseller d’Interior,,
119,Anna Geli i España,Anna Geli España,GeliAnna
120,Laura Borràs i Castanyer,Laura Borràs i Castanyer,BorràsLaura
121,Rafel Bruguera Batalla,Rafel Bruguera Batalla,BrugueraRafel
122,Joan García González,Joan García González,GarcíaJoan
123,Esperanza García González,Esperanza García González,GarcíaEsperanza
124,Marta Moreta Rovira,Marta Moreta Rovira,MoretaMarta
125,Gerard Gómez del Moral i Fuster,Gerard Goméz del Moral i Fuster,GomézGerard
126,Antonio Espinosa Cerrato,Antonio Espinosa Cerrato,EspinosaAntonio
127,J. Lluís Salvadó i Tenesa,J. Lluís Salvadó i Tenesa,SalvadóLluís
128,Teresa Pallarès Piqué,Teresa Pallarès Piqué,PallarèsTeresa
129,Lucas Silvano Ferro Solé,Lucas Silvano Ferro Solé,FerroLucas
130,Eusebi Campdepadrós i Pucurull,Eusebi Campdepadrós i Pucurull,CampdepadrósEusebi
131,Maria Àngels Chacon i Feixas,Maria Àngels Chacon i Feixas,ÀngelsChacon
132,Ferran Roquer i Padrosa,Ferran Roquer Padrosa,RoquerFerran
133,La consellera d'Empresa i Coneixement,,
134,Xavier Domènech Sampere,Xavier Domènech i Sampere,DomènechXavier
135,Mònica Sales de la Cruz,Mònica Sales de la Cruz,SalesMònica
136,Albert Batalla i Siscart,Albert Batalla i Siscart,BatallaAlbert
137,Juan Milián Querol,Juan Millan Querol,MilllanJuan
138,Jordi-Miquel Sendra Vellvè,Jordi Miquel Sendra Vellvè,SendraJordi
139,Joan Josep Nuet i Pujals,Joan Josep Nuet i Pujals,NuetJoan
140,Benet Salellas i Vilar,Benet Salellas i Vilar,SalellasBenet
141,Àngels Martínez Castells,Àngels Martínez i Castells,MartínezÀngels
142,Eulàlia Reguant i Cura,Eulàlia Reguant Cura,ReguantEulàlia
143,Jordi Munell i Garcia,Jordi Munell i Garcia,MunellJordi
144,Jordi Puigneró i Ferrer,Jordi Puigneró i Ferrer,PuigneróJordi
145,Elsa Artadi i Vila,Elsa Artadi i Vila,ArtadiElsa
146,Maria Àngels Chacón i Feixas,Maria Àngels Chacon i Feixas,ÀngelsChacon
147,Irene Fornós Curto,Irene Fornós i Curto,FornósIrene
148,Esther Niubó Cidoncha,Esther Niubó Cindoncha,NiubóEsther
149,Pol Gibert Horcas,Pol Gibert Horcas,GibertPol
150,Rut Ribas i Martí,Rut Ribas i Martí ,RibasRut
151,Antoni Morral i Berenguer,Antoni Morral i Berenguer,MorralAntoni
152,El conseller d'Educació,,
153,Marc Solsona i Aixalà,Marc Solsona i Aixalà,SolsonaMarc
